Council,Priceavg,Colours
Bayside City Council,1669638.854,Red
Brimbank City Council,696951.3889,Blue
Darebin City Council,955854.4391,Grey
Glen Eira City Council,1165405.165,Grey
Hobsons Bay City Council,1034066.719,Grey
Knox City Council,908025.5336,Grey
Manningham City Council,1261652.876,Red
Maribyrnong City Council,860982.7247,Blue
Maroondah City Council,928724.2552,Grey
Melbourne City Council,1081795.568,Grey
Monash City Council,1245718.374,Grey
Moonee Valley City Council,1086498.54,Grey
Moreland City Council,907884.5423,Blue
Port Phillip City Council,1228576.18,Grey
Stonnington City Council,1612969.607,Red
Whitehorse City Council,1205904.427,Grey
Yarra City Council,1167829.239,Grey
