council,all,house,unit,townhouse
Bayside City Council,512,349,110,53
Brimbank City Council,566,402,105,59
Darebin City Council,966,640,236,90
Glen Eira City Council,700,477,157,66
Hobsons Bay City Council,365,251,72,42
Knox City Council,134,82,30,22
Manningham City Council,349,239,79,31
Maribyrnong City Council,626,407,162,57
Maroondah City Council,162,126,28,8
Melbourne City Council,663,466,125,72
Monash City Council,399,272,96,31
Moonee Valley City Council,700,479,157,64
Moreland City Council,829,564,196,69
Port Phillip City Council,472,329,103,40
Stonnington City Council,383,257,91,35
Whitehorse City Council,179,117,41,21
Yarra City Council,436,286,111,39
